unit,song,artist,gender_of_artist,race_of_lead_artist,length_of_song,current_age,beat_of_song,year_of_song,lyrical_theme,single_or_album,level_of_formality,language_of_song,monthly_listeners,artist_count,explicit_or_clean,awards_won,number_of_songwriters,repetition_of_chorus,number_of_vocalists,number_of_instruments,has_song_been_number_1,does_it_have_music_video,certification_of_song,tempo_of_song,has_song_been_sampled,virality_score_of_song
S020,Midnight City,M83,3,2,4.05,45,1,2011,3,2,2,1,13923957,1,2,2,3,3,1,6,2,1,1,3,2,8
S021,"Hold On, We’re Going Home",Drake (ft. Majid Jordan),2,1,3.88,39,2,2013,1,1,2,1,81354294,2,1,2,2,4,2,4,1,1,1,3,1,9
S022,Drone Bomb Me,Anohni,1,2,4.25,54,2,2016,2,2,2,1,369000,1,1,2,1,3,1,5,2,1,4,2,2,6
S023,Malamente (Cap.1. Augurio),Rosalía,1,3,3.17,33,3,2018,2,1,2,2,19020003,1,2,1,3,3,1,5,2,1,2,3,2,7
S024,Inspector Norse,Todd Terje,2,2,6.17,44,1,2012,3,1,3,3,406000,1,1,2,1,2,1,4,2,1,2,3,1,8
S025,Cellophane,FKA twigs,1,5,3.75,37,2,2019,1,1,1,1,3100000,1,2,2,1,3,1,5,2,1,1,2,2,9
S026,Holocene,Bon Iver,2,2,5.6,44,2,2011,2,2,2,1,19200000,1,2,2,3,3,1,6,2,1,1,2,2,8
S027,Bad Girls,M.I.A.,1,6,3.92,50,1,2012,4,1,3,1,10195387,1,1,2,1,4,1,4,2,1,1,1,1,9
S028,Countdown,Beyoncé,1,1,3.68,44,1,2011,1,2,2,1,55688583,1,2,2,1,3,1,4,1,1,1,3,2,8
S029,Good Intentions Paving Co.,Joanna Newsom,1,2,6.17,43,2,2010,1,2,1,1,70136,1,2,2,1,2,1,6,2,1,1,3,2,8
S030,Bodak Yellow,Cardi B,1,3,3.75,33,1,2017,4,1,4,1,37017325,1,1,1,2,4,1,5,1,1,3,1,1,10
S031,Round and Round,Ariel Pink's Haunted Graffiti,3,2,5.22,32,3,2010,5,1,3,1,3000000,5,2,2,1,3,1,6,2,1,4,3,2,7
S032,Every Single Night ,Fiona Apple,1,2,3.55,34,2,2012,2,1,3,1,"4,000,000",3,2,2,1,2,1,4,2,1,4,2,2,6
S033,Dance Yrself Clean ,LCD Soundsystem ,3,2,8.93,40,3,2010,5,2,3,1,1000000,6,2,2,2,3,1,7,2,2,4,1,2,7
S034,Seasons (Waiting on You),Future Islands ,3,6,3.46,41,1,2015,1,1,2,1,144272120,1,2,2,2,3,1,5,2,1,4,3,2,7
S035,Black Beatles ,Rae Sremmurd,3,1,4.51,32,3,2011,2,1,4,1,1102642799,2,3,2,3,4,2,6,1,1,3,1,1,8
S036,Run Away With Me ,Carly Rae Jepsen ,1,2,4.11,39,1,2010,4,1,2,1,183575296,1,3,2,3,5,1,5,2,1,4,1,2,7
S037,BTSTU ,Jai Paul ,2,4,3.3,37,1,2013,3,1,3,1,44476096,1,3,2,1,3,1,4,2,1,4,3,2,6
S038,Monster ,"Kanye West (ft. Justin Vernon, Rick Ross, JAY-Z, and Nicki Minaj",3,1,6.18,48,3,2016,5,2,4,1,433132601,5,3,2,6,6,5,8,2,1,3,3,1,9
S039,Bipp,SOPHIE,1,6,3.44,34,2,2013,2,1,3,1,8795079,1,3,2,2,4,1,4,2,1,4,1,2,7
S040,Nights ,Frank Ocean,2,1,4.09,37,2,2017,1,1,3,1,914936141,1,3,2,2,3,1,5,2,1,4,2,2,8
S041,Avant Gardener,Courtney Barnett,1,2,2.5,35,1,2017,1,2,2,1,61060625,1,2,2,2,4,1,4,2,1,4,3,2,7
S042,The Weekend,SZA,1,1,4.32,36,2,2017,1,1,3,1,658819291,1,3,2,2,3,1,4,2,1,4,2,2,7
S043,The Louvre,Lorde,1,2,4.31,29,1,2010,1,1,2,1,170047982,1,2,2,2,3,1,4,2,1,4,3,2,7
S044,Mary,Big Thief,3,2,4.32,32,1,2013,2,1,2,1,27014526,1,2,2,3,3,1,5,2,1,4,3,2,6
S045,Call Your Girlfriend,Robyn,1,2,3.46,46,3,2015,2,1,2,1,100729795,1,2,2,2,3,1,4,2,1,4,3,2,6
S046,Full of Fire,The Knife,3,6,9.17,48,1,2018,1,1,2,1,3485662,2,3,2,2,3,2,5,2,1,4,3,2,6
S047,Let It Happen,Tame Impala,3,6,4.16,40,2,2010,1,1,2,1,782279180,1,3,2,3,5,1,6,2,1,4,3,2,7
S048,"Thank u, next",Ariana Grande ,1,1,3.27,32,3,2010,2,1,3,1,2108388795,1,3,1,4,4,1,5,1,1,3,3,1,10
S049,Hold Yuh,Gyptian,2,1,3.52,41,2,2012,2,1,3,1,283658246,1,2,2,2,3,1,4,2,1,4,3,2,6
S050,Sprawl II (Mountains Beyond Mountains),Arcade Fire ,3,6,5.25,45,2,2017,2,2,2,1,83042528,6,3,2,6,5,6,7,2,1,4,3,2,8
S051,"Bitch, Don't Kill My Vibe ",Kendrick Lamar,2,1,5.1,38,1,2012,1,1,4,1,890773276,1,3,2,3,4,1,5,2,1,4,3,2,7
S052,The Opener,Camp Cope,3,6,3.5,29,1,2012,1,1,2,1,6041329,3,2,2,2,3,1,4,2,1,4,3,2,6
S053,Losing You,Solange,1,1,3.56,39,2,2012,1,1,2,1,108364003,1,2,2,2,3,1,4,2,1,4,3,2,6
S054,Latch,Disclousre (ft. Sam Smith,3,6,4.17,34,1,2015,5,1,2,1,1364110618,3,2,2,3,4,2,5,2,1,4,1,1,7
S055,Laura,Bat for Lashes,1,2,3.41,46,2,2012,1,2,2,1,30189027,1,3,2,2,3,1,4,2,1,4,3,2,6
S056,Norf Norf,Vince Staples,2,1,2.44,31,2,2012,1,1,4,1,222369549,1,2,2,2,3,1,4,2,1,4,3,2,6
